eV_,TotalSpec_NEXAFS,E_55,ZnPc_55
289.94497249,1.9829414e+09,319.90082,1.0703548
289.96498249,1.9958802e+09,319.99988,1.0651814
289.9849925,2.008767e+09,320.09995,1.0652674
290.0050025,2.0215982e+09,320.20007,1.0638045
290.02501251,2.0343704e+09,320.30002,1.0616523
290.04502251,2.0470801e+09,320.40033,1.0561327
290.06503252,2.0597239e+09,320.50027,1.0588155
290.08504252,2.0722982e+09,320.60077,1.0562122
290.10505253,2.0847994e+09,320.70087,1.0551119
290.12506253,2.0972242e+09,320.80121,1.0497981
290.14507254,2.109569e+09,320.90057,1.051222
290.16508254,2.1218309e+09,320.99872,1.0496472
290.18509255,2.1340065e+09,321.09988,1.0477351
290.20510255,2.1460932e+09,321.19989,1.0429869
290.22511256,2.1580879e+09,321.3002,1.0450975
290.24512256,2.1699886e+09,321.40005,1.043452
290.26513257,2.1817923e+09,321.50052,1.0422887
290.28514257,2.1934976e+09,321.60278,1.0376885
290.30515258,2.2051023e+09,321.69241,1.039819
290.32516258,2.2166052e+09,321.80005,1.0373981
290.34517259,2.2280051e+09,321.89938,1.0364089
290.36518259,2.2393006e+09,322.00064,1.0325409
290.3851926,2.2504916e+09,322.09976,1.0353144
290.4052026,2.2615775e+09,322.20071,1.0337328
290.42521261,2.2725581e+09,322.29984,1.0327631
290.44522261,2.283434e+09,322.39929,1.0302083
290.46523262,2.2942052e+09,322.50095,1.0305923
290.48524262,2.3048724e+09,322.60092,1.0302867
290.50525263,2.3154371e+09,322.70035,1.0282828
290.52526263,2.3259e+09,322.80072,1.0261428
290.54527264,2.3362632e+09,322.89969,1.0275589
290.56528264,2.3465275e+09,322.99942,1.0270414
290.58529265,2.356695e+09,323.10037,1.0250862
290.60530265,2.3667681e+09,323.20111,1.0252125
290.62531266,2.3767483e+09,323.30072,1.0241179
290.64532266,2.3866383e+09,323.40039,1.0242368
290.66533267,2.3964401e+09,323.49948,1.0200002
290.68534267,2.4061563e+09,323.59915,1.02249
290.70535268,2.4157893e+09,323.69284,1.0211915
290.72536268,2.4253414e+09,323.7998,1.0213298
290.74537269,2.4348152e+09,323.89941,1.0165848
290.76538269,2.4442132e+09,324.00061,1.0191729
290.7853927,2.4535378e+09,324.10095,1.0188606
290.8054027,2.4627912e+09,324.19949,1.0185122
290.82541271,2.4719754e+09,324.30072,1.0143082
290.84542271,2.4810929e+09,324.40036,1.0165935
290.86543272,2.4901453e+09,324.49478,1.0160062
290.88544272,2.4991345e+09,324.60001,1.0158237
290.90545273,2.5080622e+09,324.69958,1.0119476
290.92546273,2.5169295e+09,324.80002,1.0146308
290.94547274,2.525738e+09,324.90045,1.0139976
290.96548274,2.5344883e+09,325.00064,1.0134424
290.98549275,2.5431813e+09,325.10013,1.0094661
291.00550275,2.5518177e+09,325.19513,1.0115544
291.02551276,2.5603973e+09,325.30014,1.0103635
291.04552276,2.5689206e+09,325.39999,1.009867
291.06553277,2.5773865e+09,325.50314,1.006689
291.08554277,2.5857951e+09,325.60104,1.0087295
291.10555278,2.594145e+09,325.70007,1.0088904
291.12556278,2.6024353e+09,325.80045,1.0067385
291.14557279,2.610665e+09,325.90109,1.0056255
291.16558279,2.6188314e+09,326.00064,1.0057393
291.1855928,2.6269332e+09,326.09909,1.005849
291.2056028,2.6349681e+09,326.19934,1.0027968
291.22561281,2.6429338e+09,326.30029,1.0022055
291.24562281,2.6508268e+09,326.39954,1.0022982
291.26563282,2.6586445e+09,326.50388,1.0016571
291.28564282,2.6663841e+09,326.60141,0.99912447
291.30565283,2.6740419e+09,326.69934,0.99922758
291.32566283,2.6816138e+09,326.79883,0.99893248
291.34567284,2.6890964e+09,326.9003,0.99785554
291.36568284,2.6964859e+09,326.99847,0.99452972
291.38569285,2.7037778e+09,327.10022,0.99557573
291.40570285,2.7109681e+09,327.20029,0.99414557
